Date,CPI
2015-01-01,233.707
2016-01-01,236.916
2017-01-01,242.839
2018-01-01,247.867
2019-01-01,251.712
2020-01-01,257.971
2021-01-01,261.582
2022-01-01,281.148
2023-01-01,299.170
2024-01-01,308.417
2025-01-01,320.000
2025-02-01,320.400
2025-03-01,320.600
2025-04-01,320.795
2025-05-01,321.000
2025-06-01,321.500
2025-07-01,322.000
2025-08-01,322.200
2025-09-01,322.500
2025-10-01,323.000
2025-11-01,323.500
2025-12-01,324.054
2026-01-01,325.252
2026-02-01,326.785
2026-03-01,330.213
2026-04-01,333.020
